City,Activity,Category,Interest,Price,Link
London,Hyde Park,parks,8,0,https://www.royalparks.org.uk/hyde-park
London,Regent's Park,parks,8,0,https://www.royalparks.org.uk/regents-park
London,Richmond Park,parks,8,0,https://www.royalparks.org.uk/richmond-park
London,St James's Park,parks,8,0,https://www.royalparks.org.uk/st-jamess-park
London,Greenwich Park,parks,8,0,https://www.royalparks.org.uk/greenwich-park
London,Kensington Gardens,parks,8,0,https://www.royalparks.org.uk/kensington-gardens
London,Victoria Park,parks,8,0,https://www.royalparks.org.uk/victoria-park
London,Battersea Park,parks,8,0,https://www.royalparks.org.uk/battersea-park
London,Hampstead Heath,parks,8,0,https://www.royalparks.org.uk/hampstead-heath
London,Crystal Palace Park,parks,8,0,https://www.royalparks.org.uk/crystal-palace-park
London,Holland Park,parks,8,0,https://www.royalparks.org.uk/holland-park
London,Clapham Common,parks,8,0,https://www.royalparks.org.uk/clapham-common
London,Brockwell Park,parks,8,0,https://www.royalparks.org.uk/brockwell-park
London,Dulwich Park,parks,8,0,https://www.royalparks.org.uk/dulwich-park
London,Finsbury Park,parks,8,0,https://www.royalparks.org.uk/finsbury-park
London,Green Park,parks,8,0,https://www.royalparks.org.uk/green-park
London,Primrose Hill,parks,8,0,https://www.royalparks.org.uk/primrose-hill
London,London Fields,parks,8,0,https://www.royalparks.org.uk/london-fields
London,Bushy Park,parks,8,0,https://www.royalparks.org.uk/bushy-park
London,Lee Valley Regional Park,parks,8,0,https://www.royalparks.org.uk/lee-valley-regional-park
London,Big Ben,arch,9,20,https://visitlondon.com/things-to-do/place/big-ben
London,Tower of London,arch,9,0,https://visitlondon.com/things-to-do/place/tower-of-london
London,Buckingham Palace,arch,9,20,https://visitlondon.com/things-to-do/place/buckingham-palace
London,Westminster Abbey,arch,9,0,https://visitlondon.com/things-to-do/place/westminster-abbey
London,St Paul's Cathedral,arch,9,20,https://visitlondon.com/things-to-do/place/st-pauls-cathedral
London,Tower Bridge,arch,9,0,https://visitlondon.com/things-to-do/place/tower-bridge
London,The Shard,arch,9,20,https://visitlondon.com/things-to-do/place/the-shard
London,London Eye,arch,9,0,https://visitlondon.com/things-to-do/place/london-eye
London,Houses of Parliament,arch,9,20,https://visitlondon.com/things-to-do/place/houses-of-parliament
London,Trafalgar Square,arch,9,0,https://visitlondon.com/things-to-do/place/trafalgar-square
London,Piccadilly Circus,arch,9,20,https://visitlondon.com/things-to-do/place/piccadilly-circus
London,Kensington Palace,arch,9,0,https://visitlondon.com/things-to-do/place/kensington-palace
London,Hampton Court Palace,arch,9,20,https://visitlondon.com/things-to-do/place/hampton-court-palace
London,The Monument,arch,9,0,https://visitlondon.com/things-to-do/place/the-monument
London,Royal Albert Hall,arch,9,20,https://visitlondon.com/things-to-do/place/royal-albert-hall
London,Shakespeare's Globe,arch,9,0,https://visitlondon.com/things-to-do/place/shakespeares-globe
London,Somerset House,arch,9,20,https://visitlondon.com/things-to-do/place/somerset-house
London,Battersea Power Station,arch,9,0,https://visitlondon.com/things-to-do/place/battersea-power-station
London,The Gherkin,arch,9,20,https://visitlondon.com/things-to-do/place/the-gherkin
London,Walkie Talkie,arch,9,0,https://visitlondon.com/things-to-do/place/walkie-talkie
London,Leadenhall Building,arch,9,20,https://visitlondon.com/things-to-do/place/leadenhall-building
London,Lloyd's Building,arch,9,0,https://visitlondon.com/things-to-do/place/lloyds-building
London,Marble Arch,arch,9,20,https://visitlondon.com/things-to-do/place/marble-arch
London,Wellington Arch,arch,9,0,https://visitlondon.com/things-to-do/place/wellington-arch
London,Royal Exchange,arch,9,20,https://visitlondon.com/things-to-do/place/royal-exchange
London,Mansion House,arch,9,0,https://visitlondon.com/things-to-do/place/mansion-house
London,Guildhall,arch,9,20,https://visitlondon.com/things-to-do/place/guildhall
London,Temple Church,arch,9,0,https://visitlondon.com/things-to-do/place/temple-church
London,Southwark Cathedral,arch,9,20,https://visitlondon.com/things-to-do/place/southwark-cathedral
London,Westminster Cathedral,arch,9,0,https://visitlondon.com/things-to-do/place/westminster-cathedral
London,Borough Market,markets,8,0,https://visitlondon.com/things-to-do/place/borough-market
London,Camden Market,markets,8,0,https://visitlondon.com/things-to-do/place/camden-market
London,Portobello Road Market,markets,8,0,https://visitlondon.com/things-to-do/place/portobello-road-market
London,Brick Lane Market,markets,8,0,https://visitlondon.com/things-to-do/place/brick-lane-market
London,Spitalfields Market,markets,8,0,https://visitlondon.com/things-to-do/place/spitalfields-market
London,Covent Garden Market,markets,8,0,https://visitlondon.com/things-to-do/place/covent-garden-market
London,Greenwich Market,markets,8,0,https://visitlondon.com/things-to-do/place/greenwich-market
London,Columbia Road Flower Market,markets,8,0,https://visitlondon.com/things-to-do/place/columbia-road-flower-market
London,Leadenhall Market,markets,8,0,https://visitlondon.com/things-to-do/place/leadenhall-market
London,Brixton Village,markets,8,0,https://visitlondon.com/things-to-do/place/brixton-village
London,Maltby Street Market,markets,8,0,https://visitlondon.com/things-to-do/place/maltby-street-market
London,Broadway Market,markets,8,0,https://visitlondon.com/things-to-do/place/broadway-market
London,Southbank Centre Food Market,markets,8,0,https://visitlondon.com/things-to-do/place/southbank-centre-food-market
London,Petticoat Lane Market,markets,8,0,https://visitlondon.com/things-to-do/place/petticoat-lane-market
London,Mercato Mayfair,markets,8,0,https://visitlondon.com/things-to-do/place/mercato-mayfair
London,Mercato Metropolitano,markets,8,0,https://visitlondon.com/things-to-do/place/mercato-metropolitano
London,Seven Dials Market,markets,8,0,https://visitlondon.com/things-to-do/place/seven-dials-market
London,Boxpark Shoreditch,markets,8,0,https://visitlondon.com/things-to-do/place/boxpark-shoreditch
London,Boxpark Croydon,markets,8,0,https://visitlondon.com/things-to-do/place/boxpark-croydon
